week,id,wtnb,wtb,sulnb,sulb,bcinb,bcob,sminb,smib
20,25,11.59,5.22,45.4,36.9,0.255,0.141,23.6,14.0
20,26,7.57,4.74,41,35.4,0.185,0.134,19.1,19.5
20,27,9.63,4.77,44.7,35.8,0.215,0.133,30.7,18.8
20,28,6.32,3.53,37.4,33.1,0.169,0.107,28.1,17.9
20,29,6.03,3.82,37.5,32.8,0.161,0.116,25.1,17.6
20,30,5.86,3.86,38.5,34.1,0.152,0.113,17.2,15.5
24,1,8.37,8.18,43.9,43.5,0.191,0.188,17.6,23.5
24,2,9.2,5.96,43.5,39.3,0.211,0.152,18.7,16.7
24,3,9.98,5.38,46.2,37.3,0.216,0.144,18.5,14.2
24,4,11.17,5.52,47.8,37.5,0.234,0.147,21.6,30.6
24,5,10.46,7.61,45.7,42,0.229,0.181,#REF!,#REF!
24,6,8.82,8.18,43.6,41.9,0.202,0.195,#REF!,#REF!
24,7,10.57,7.57,46.1,42.3,0.229,0.179,#REF!,#REF!
24,8,10.52,5.91,45.1,38.3,0.233,0.154,26.6,22.7
24,9,13.33,5.7,48.3,38,0.276,0.15,25.1,21.7
24,10,10.03,5.47,45.3,39.3,0.221,0.139,22.4,28.7
24,11,8.87,5.03,43.1,37.1,0.206,0.136,25.2,33.6
24,12,10.19,7.27,46.5,41.9,0.219,0.174,27.3,20.5
24,13,11.7,3.89,47,34.6,0.249,0.112,28.6,24.1
24,14,7.36,3.65,41.3,34.1,0.178,0.107,31.4,21.8
24,15,7.62,7.19,41.6,41.8,0.183,0.172,28.8,19.5
24,16,9.88,6.1,45,40.4,0.22,0.151,29.5,21.5
24,17,15.06,6.71,51.9,40.2,0.29,0.167,24.8,18.6
24,18,12.85,4.12,47.6,34.8,0.27,0.118,24.3,18.4
24,19,14.05,12.41,48.7,46.6,0.289,0.266,22.2,17.8
24,20,8.75,6.07,44.1,40.2,0.198,0.151,11.7,18.8
24,21,6.92,8.12,38.7,43.8,0.179,0.185,25.0,25.4
24,22,10.32,4.8,45.2,36.1,0.228,0.133,29.1,22.8
24,23,9.65,5.79,43.3,39.1,0.223,0.148,31.5,19.2
24,24,8.42,6.3,43.1,39.3,0.195,0.16,21.5,23.0
24,25,5.99,6.6,39.2,40.3,0.153,0.164,33.6,24.1
24,26,6.17,5.87,39,39.9,0.158,0.147,25.9,25.8
24,27,6.31,5.37,38.6,37.8,0.163,0.142,27.9,23.8
24,28,5.54,4.26,37.8,36.7,0.147,0.116,22.6,22.8
24,29,6.96,5.54,39.1,38.9,0.178,0.142,32.9,20.1
24,30,3.11,4.75,31.1,36.9,0.1,0.129,20.5,19.0
28,1,10.62,6.56,45.5,39.2,0.233,0.167,21.1,18.7
28,2,12.24,8.09,47.3,43.9,0.259,0.184,21.8,15.7
28,3,14.79,10.16,49.8,45.2,0.297,0.225,21.1,17.6
28,4,9.65,9.59,45.1,43.8,0.214,0.219,19.5,14.1
28,5,10.68,6.42,47.4,39,0.225,0.165,23.4,17.1
28,6,11.93,6.95,49.1,39.8,0.243,0.175,25.3,18.2
28,7,12.39,8.08,48.7,44.3,0.254,0.182,26.5,19.0
28,8,12.25,5.81,48.5,37.7,0.253,0.154,26.3,16.0
28,9,8.04,6.32,43.2,39.6,0.186,0.16,19.4,16.6
28,10,13.38,9.04,50.2,45.2,0.267,0.2,27.7,20.8
28,11,9.9,4.37,44.8,36.2,0.221,0.121,23.0,12.6
28,12,11.41,5.49,47.1,37.9,0.242,0.145,25.2,15.1
28,13,11.42,6.68,47.2,41,0.242,0.163,25.2,16.9
28,14,10.33,3.82,45,34.7,0.23,0.11,23.9,11.4
28,15,8.58,8.94,43,43.7,0.2,0.205,20.8,21.3
28,16,2.69,7.71,30.6,41.8,0.088,0.184,9.1,19.2
28,17,16.63,7.86,52.3,43.2,0.318,0.182,33.1,18.9
28,18,10.62,5.72,46.4,39.1,0.229,0.146,23.8,15.2
28,19,7.39,4.49,39.9,37.4,0.185,0.12,19.3,12.5
28,20,10.18,6.69,46.5,40.9,0.219,0.164,22.8,17.0
28,21,10.74,5.22,47.4,38.8,0.227,0.135,23.6,14.0
28,22,7.57,7.97,41.3,42.4,0.183,0.188,19.1,19.5
28,23,15.49,7.57,52.5,41.8,0.295,0.181,30.7,18.8
28,24,13.85,7.18,51.2,41.7,0.271,0.172,28.1,17.9
28,25,11.12,6.98,46,41.3,0.242,0.169,25.1,17.6
28,26,6.49,5.99,39.2,40.2,0.166,0.149,17.2,15.5
28,27,6.75,10.43,40,46.2,0.169,0.226,17.6,23.5
28,28,7.53,6.39,41.8,39.8,0.18,0.161,18.7,16.7
28,29,6.96,5.18,39.2,38,0.178,0.136,18.5,14.2
28,30,9.48,14.72,45.6,50,0.208,0.294,21.6,30.6
32,4,12.29,9.82,48.1,44.9,0.256,0.219,26.6,22.7
32,5,12.11,9.26,50.2,44.4,0.241,0.209,25.1,21.7
32,6,9.99,13.29,46.4,48.1,0.215,0.276,22.4,28.7
32,7,11.69,16.78,48.3,52,0.242,0.323,25.2,33.6
32,8,12.78,8.54,48.6,43.3,0.263,0.197,27.3,20.5
32,9,14.1,10.57,51.3,45.7,0.275,0.231,28.6,24.1
32,10,15.32,8.78,50.8,41.9,0.302,0.21,31.4,21.8
32,11,13.77,7.85,49.8,41.9,0.277,0.187,28.8,19.5
32,12,14.76,8.91,52.1,43.1,0.283,0.207,29.5,21.5
32,13,11.2,7.51,46.9,42.1,0.239,0.178,24.8,18.6
32,14,11.09,7.27,47.4,41,0.234,0.177,24.3,18.4
32,15,9.41,6.93,44,40.5,0.214,0.171,22.2,17.8
32,16,3.57,7.81,31.8,43.2,0.112,0.181,11.7,18.8
32,17,11.69,12.1,48.7,49.5,0.24,0.244,25.0,25.4
32,18,14.06,10.26,50.3,46.8,0.28,0.219,29.1,22.8
32,19,15.67,8,51.8,43.3,0.303,0.185,31.5,19.2
32,20,8.99,10.66,43.4,48.3,0.207,0.221,21.5,23.0
32,21,17.69,11.36,54.8,49,0.323,0.232,33.6,24.1
32,22,11.56,12.3,46.4,49.6,0.249,0.248,25.9,25.8
32,23,12.6,11,47,48.1,0.268,0.229,27.9,23.8
32,24,10.27,9.38,47.2,42.7,0.218,0.22,22.6,22.8
32,25,16.6,8.05,52.4,41.7,0.317,0.193,32.9,20.1
32,26,8.43,7.8,42.8,42.7,0.197,0.183,20.5,19.0
32,27,8.66,7.31,42.7,40.6,0.203,0.18,21.1,18.7
32,28,9.05,5.69,43.1,37.8,0.21,0.151,21.8,15.7
32,29,9.02,6.79,44.4,40.2,0.203,0.169,21.1,17.6
32,30,7.83,5.05,41.8,37.2,0.187,0.136,19.5,14.1
